lessonTitle	fileName	fileSize	uploadedAt	contentType
treinamento-abc	4.png	614209	2026-05-01T02:18:48.538Z	image/png
teste	4-1.png	614209	2026-05-01T22:15:31.355Z	image/png
silas-teste	2.png	338032	2026-05-01T22:17:48.583Z	image/png
atateste	1-1.png	638629	2026-05-02T01:30:46.201Z	image/png
teste20	4-2.png	614209	2026-05-02T01:43:38.498Z	image/png
garcia	4-3.png	614209	2026-05-02T01:50:27.251Z	image/png
